Lap;VAROTTO MAURO;ROSSI NICOLAS;MACCANTI MATTEO;LUNARDON DAVIDE;STEFANI ANDREA;CAVALLINI DAVIDE;SCHIAVON FEDERICO;MARANGON NICOLA;CAPPELLARI DAVIDE;CORAIN GIULIO;BOSCOLO MEO ANDREA;ZAGO ERICA;ARIUOLO FAUSTO ALBERTO;SACCO NICOLO;TIOZZO ROBERTO;PEGORARAO GIORGIO;VARZELLESI SIMONE;PAROLIN OSCAR;EDDOUCCHI YOUNESSE;SANNIA MATTEO;FERRIANI RICCARDO;GUZZO RICCARDO;ZARANTONELLO GIUSUE;CORATO STEFANO;FONTANA DAVIDE
0;2.499;1.757;1.971;0.105;4.238;3.609;1.441;4.585;0;3.845;5.145;5.332;3.444;10.08;2.985;2.479;3.478;1.098;5.935;4.927;3.644;5.309;6.179;4.506;5.526
1;0.597;1.397;2.079;0;3.128;4.173;2.88;5.07;2.341;3.005;4.342;4.932;3.308;8.741;6.29;4.074;3.873;0.519;7.543;5.879;4.752;7.72;5.498;9.483;7.075
2;0;1.237;1.542;0.468;4.729;5.731;2.395;6.671;1.958;3.885;6.189;6.567;5.378;10.274;7.332;6.373;4.154;1.084;8.095;7.472;7.136;7.787;6.834;9.855;7.6
3;0;2.07;2.231;0.655;5.078;6.29;3.109;7.927;2.88;4.071;6.836;7.82;6.042;10.717;10.6;8.183;5.622;2.66;11.627;12.273;9.135;9.971;12.184;12.295;12.044
4;0;2.143;2.366;0.95;4.847;7.974;3.626;8.427;3.915;4.372;9.07;8.976;6.973;11.005;10.893;9.37;7.856;3.356;12.106;13.609;9.858;10.212;12.719;13.848;13.568
5;0;2.227;2.321;0.975;5.473;7.595;3.89;8.199;4.245;5.723;9.305;9.057;7.189;10.942;10.963;10.079;10.784;6.215;12.457;14.087;10.854;10.797;13.036;15.374;14.79
6;0;2.276;2.483;1.222;5.233;7.878;4.294;8.124;4.565;6.534;9.703;9.558;7.985;12.184;11.276;10.629;12.007;7.792;13.523;14.331;13.01;13.767;14.053;16.072;15.813
7;0;2.539;2.656;1.555;5.049;7.829;4.644;8.211;4.752;6.644;9.956;10.601;9.218;12.113;11.374;10.747;12.404;9.544;13.58;14.848;13.389;13.722;14.72;17.098;17.02
8;0;2.735;2.996;2.083;5.29;7.377;4.876;7.876;5.677;7.025;10.493;11.881;9.932;12.221;12.036;11.499;12.854;10.744;14.835;15.803;14.052;14.544;15.547;17.845;18.237
9;0;2.747;3.016;2.591;5.381;6.855;5.577;7.865;5.869;7.249;11.004;12.122;10.882;12.632;12.624;13.01;13.27;12.496;14.905;16.229;14.524;14.675;16.845;18.653;19.077
10;0;3.48;3.683;3.826;5.45;6.873;5.978;7.908;6.418;7.616;12.151;12.769;12.005;12.757;14.862;16.202;14.739;15.588;15.922;16.83;16.738;16.437;17.526;19.355;20.078
11;0;4.431;4.535;4.725;5.714;6.877;5.951;7.681;7.442;8.526;12.264;13.285;12.812;13.725;15.232;16.557;15.467;16.366;17.943;17.324;18.429;17.289;18.758;19.848;20.971
12;0;4.828;4.981;5.313;5.836;6.223;6.071;8.005;8.616;9.086;12.427;13.4;13.173;14.467;15.607;16.861;16.099;17.266;18.438;19.729;19.458;20.417;20.653;20.993;21.95
13;0;5.217;5.839;6.386;6.675;6.805;7.008;8.148;9.256;11.07;12.708;13.942;14.273;15.818;16.393;17.187;17.207;17.823;19.118;20.215;20.474;20.653;21.312;21.842;23.161
