Lap;MICHELETTO MATTEO;BERNARDO GEREMIA;BAVIERO ENRICO;MAZZUCCHETTI ALEX;MUSA RONALD;BALDAZZI FEDERICO;MANZONE FRANCESCO;CARBOGNIN LUIGI;CIPOLLA ALBERTO;TISATO MASSIMILIANO;PEREIRA GONZALO;TONON ALBERTO;CAVALET ANDREA;MINGOTTO ILARIA;CESAREO LUCA;VEGGO ANDREA;STEVAN DIEGO;SIMONI ANDREA;PIVOTTO EMILIO;ZANDARIN SIMONE;CAORLINI SIMONE;CANAL MASSIMILIANO;CASAZZA ANNA;PIRANI ALBERTO;TALATO ALESSANDRO
0;2.482;4.287;2.091;0;0.914;2.944;5.086;2.795;0.083;0.851;1.657;4.929;3.312;5.365;4.127;5.606;3.587;3.748;6.016;5.135;4.688;5.018;6.414;4.169;2.54
1;79.232;80.898;79.081;79.603;79.618;79.292;80.227;81.678;83.486;79.101;80.937;81.077;82.105;80.408;83.926;81.35;80.313;82.909;82.15;83.533;83.459;81.347;81.924;80.816;85.895
2;74.197;74.367;73.972;74.4;75.039;74.139;74.698;74.377;73.769;75.803;74.17;75.77;75.599;76.933;75.085;76.656;75.211;75.707;77.145;76.396;76.008;75.724;77.408;77.082;77.464
3;73.992;73.358;73.312;73.999;73.611;74.869;73.753;74.813;74.21;75.497;74.417;73.899;73.703;75.976;76.649;74.832;75.09;75.221;75.91;76.051;76.707;78.964;75.872;82.591;75.881
4;74.438;74.024;73.752;73.382;75.636;74.979;74.372;73.953;75.01;76.018;77.099;73.59;73.939;73.374;73.898;73.528;74.317;73.481;74.486;74.815;74.547;75.745;75.511;74.865;75.572
5;73.411;73.158;73.243;73.725;73.643;73.72;73.433;73.474;73.911;74.128;73.762;73.63;73.891;73.566;73.525;74.073;73.937;73.837;73.878;74.914;75.753;74.529;74.933;74.213;74.881
6;73.218;73.387;73.871;73.941;72.929;73.845;73.412;73.031;73.973;73.36;73.157;75.024;74.25;73.306;73.334;73.892;75.571;73.711;73.915;74.037;75.184;75.602;74.768;73.779;74.818
7;73.064;73.086;73.507;74.305;73.671;74.072;74.807;76.04;75.876;74.555;74.313;73.599;73.601;73.815;73.25;73.594;74.187;73.919;73.874;74.145;74.751;76.718;76.704;77.05;77.335
8;72.896;72.889;73.397;73.294;73.225;72.941;73.359;74.181;74.107;73.638;73.807;73.398;74.101;73.808;73.859;73.705;74.126;74.562;73.618;74.193;74.685;76.35;76.365;75.684;76.046
9;73.287;72.675;73.121;73.965;73.602;73.096;73.809;73.802;73.907;74.801;74.672;74.134;74.139;75.006;74.042;74.057;74.364;75.094;73.78;74.208;74.94;75.813;75.66;75.407;75.873
10;73;72.633;73.48;73.223;73.381;73.191;73.344;73.114;73.463;73.222;73.532;73.36;73.982;74.85;74.414;74.286;74.444;75.047;73.632;74.208;74.471;75.215;75.763;75.764;75.453
11;73.19;72.757;73.736;73.522;72.918;73.522;73.199;73.42;73.56;73.809;73.628;73.339;73.225;73.127;74.591;74.873;74.994;73.79;73.397;73.92;75.867;75.068;75.562;75.564;75.679
12;73.131;72.879;73.723;74.769;74.163;73.114;73.222;74.573;74.701;74.812;74.728;74.849;74.929;73.965;74.91;75.51;75.239;75.303;75.362;73.859;74.787;74.64;74.357;74.433;76.02
13;72.95;72.896;73.583;73.499;73.527;73.244;73.5;75.408;74.978;76.33;76.473;76.035;75.922;73.437;74.636;74.554;75.807;74.98;74.643;74.023;75.288;75.507;75.088;74.929;73.651
