Lap;ZANETTE MATTIA;DEL CERO DAVIDE;BOLDRIN MARCO;TRAINA MATTEO;SCATTOLIN WALTER;CADORIN MIRKO;CATTANI UMBERTO;SCATTOLIN ALBERTO;DONATO MIRO;MINOZZI ALESSANDRO;SCANDAGLIATO GABRIELE;GALLO ALBERTO;CASCIO ROBERTO;CUSIN JACOPO;BRESOLATO DAVIDE;MAISTRI STEFANO;GIUDICE GHERARDO;GUIDOLIN DAMIANO;BRAGANGNOLO EFREM;SPINELLO LUCA;MARINO FRANCESCO;VERLATO PAOLO;MERLO RICCARDO;GIRARDELLO MATTEO;LORENZONI ALESSIO
0;2.136;0.91;1.442;2.014;0.514;2.988;2.384;4.492;8.174;2.519;4.962;3.456;5.004;4.886;4.561;5.841;0;6.118;5.306;3.762;4.487;5.186;6.639;6.449;4.49
1;82.289;79.281;80.52;80.358;81.283;80.483;82.593;82.797;80.785;82.876;83.811;81.372;82.376;82.974;81.838;82.2;81.19;82.527;82.909;83.803;83.232;83.342;83.527;83.252;82.35
2;74.248;74.798;74.44;75.478;75.463;74.648;75.915;76.011;75.791;76.261;77.328;76.58;78.114;80.464;77.186;77.313;74.895;79.976;79.775;81.266;80.092;78.772;78.789;79.862;77.538
3;73.799;74.721;74.424;74.139;74.499;75.108;74.629;74.598;74.439;75.497;74.992;75.458;77.466;75.939;76.417;77;91.695;77.112;75.704;76.531;76.842;76.08;76.985;77.235;77.424
4;73.956;74.428;73.973;74.197;74.294;73.778;73.906;74.592;74.417;74.813;74.143;75.475;74.588;74.767;75.048;74.841;75.66;76.049;75.595;75.69;75.098;75.452;78.615;78.516;75.483
5;75.21;74.36;74.026;74.132;74.866;74.392;73.95;74.51;73.852;75.147;74.661;75.526;74.34;75.976;75.847;77;74.442;74.749;76.174;75.246;76.188;75.844;76.967;77.456;77.267
6;73.441;73.859;73.728;73.801;73.981;75.979;74.34;73.671;75.33;75.167;74.638;74.67;74.647;75.056;75.489;74.897;74.724;75.634;75.496;76.055;75.369;77.385;78.609;78.237;75.925
7;73.783;74.45;73.98;73.863;74.844;74.18;75.043;73.718;74.4;74.188;73.994;74.933;74.578;74.516;75.54;75.163;76.342;75.1;74.925;75.742;74.833;76.79;76.209;77.195;75.473
8;73.397;73.667;73.783;73.982;74.133;73.814;73.639;73.706;73.791;74.418;73.969;74.852;74.036;74.293;74.745;75.567;74.373;74.492;76.003;74.925;81.351;76.533;76.895;76.931;75.705
9;73.164;73.901;73.879;74.206;74.241;74.155;74.125;73.743;73.861;74.951;74.3;74.309;74.269;74.247;74.827;74.956;74.969;74.826;74.831;75.604;74.471;76.101;77.081;76.946;75.071
10;73.806;74.6;74.902;73.432;73.829;73.704;73.88;73.589;74.046;75.154;74.748;74.841;73.943;73.904;74.825;74.868;74.053;74.63;75.426;74.558;75.592;75.887;75.731;76.685;75.317
11;74.348;74.467;74.81;74.509;73.885;74.059;74.046;73.329;74.299;74.225;74.115;74.781;73.381;74.882;75.867;74.504;74.367;74.21;74.946;74.706;75.507;75.163;75.884;76.47;74.988
12;73.899;74.134;73.877;73.999;73.987;74.211;73.943;74.142;73.921;74.521;74.241;74.521;74.262;74.855;74.694;74.618;74.282;75.005;74.545;74.668;75.771;76.906;76.981;76.489;
13;73.685;74.736;74.936;75.065;73.81;73.836;74.119;73.829;74.271;75.098;75.27;75.74;76.07;74.715;75.231;74.586;74.063;74.759;74.112;74.805;75.598;76.569;75.54;75.605;
